
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,TrackID,ID,
4.35665,um,Surface,435,1000199432,213342,
5.03481,um,Surface,435,1000196348,213343,
7.92839,um,Surface,435,1000201094,213344,
6.2111,um,Surface,436,1000161032,213345,
4.48796,um,Surface,436,1000198833,213346,
5.83436,um,Surface,436,1000166950,213347,
4.35664,um,Surface,436,1000212391,213348,
5.78804,um,Surface,436,1000202801,213349,
4.97905,um,Surface,436,1000189692,213350,
5.11911,um,Surface,436,1000161044,213351,
5.20867,um,Surface,436,1000185942,213352,
5.08609,um,Surface,436,1000161049,213353,
8.18016,um,Surface,436,1000213056,213354,
5.21873,um,Surface,436,1000168619,213355,
4.98231,um,Surface,436,1000202411,213356,
9.51294,um,Surface,436,1000207101,213357,
4.51316,um,Surface,436,1000188975,213358,
4.69626,um,Surface,436,1000194928,213359,
5.11226,um,Surface,436,1000204718,213360,
5.06794,um,Surface,436,1000161072,213361,
5.10615,um,Surface,436,1000203533,213362,
5.18271,um,Surface,436,1000199773,213363,
6.21531,um,Surface,436,1000179475,213364,
5.47706,um,Surface,436,1000177939,213365,
5.19892,um,Surface,436,1000210851,213366,
4.42808,um,Surface,436,1000208231,213367,
4.49443,um,Surface,436,1000161104,213368,
4.82685,um,Surface,436,1000201374,213369,
7.13355,um,Surface,436,1000197225,213370,
5.45548,um,Surface,436,1000205236,213371,
5.47749,um,Surface,436,1000208321,213372,
6.04475,um,Surface,436,1000202567,213373,
5.74985,um,Surface,436,1000161145,213374,
4.81415,um,Surface,436,1000161146,213375,
4.83412,um,Surface,436,1000208944,213376,
4.70417,um,Surface,436,1000191712,213377,
4.69794,um,Surface,436,1000199432,213378,
6.58375,um,Surface,436,1000196348,213379,
7.38176,um,Surface,436,1000201094,213380,
6.24454,um,Surface,437,1000202801,213381,
4.44935,um,Surface,437,1000162116,213382,
4.7172,um,Surface,437,1000210650,213383,
6.0894,um,Surface,437,1000161032,213384,
4.72483,um,Surface,437,1000198833,213385,
7.4372,um,Surface,437,1000166950,213386,
4.60291,um,Surface,437,1000189692,213387,
4.35664,um,Surface,437,1000212567,213388,
5.13145,um,Surface,437,1000210467,213389,
4.8056,um,Surface,437,1000185942,213390,
8.62235,um,Surface,437,1000213056,213391,
4.95433,um,Surface,437,1000202411,213392,
5.10893,um,Surface,437,1000161049,213393,
5.40063,um,Surface,437,1000168619,213394,
4.78282,um,Surface,437,1000188975,213395,
4.92545,um,Surface,437,1000194928,213396,
4.54017,um,Surface,437,1000204718,213397,
4.86961,um,Surface,437,1000161072,213398,
5.27192,um,Surface,437,1000209244,213399,
4.59644,um,Surface,437,1000203533,213400,
5.24135,um,Surface,437,1000199773,213401,
6.40929,um,Surface,437,1000179475,213402,
5.84323,um,Surface,437,1000210851,213403,
4.42808,um,Surface,437,1000208231,213404,
6.3733,um,Surface,437,1000177939,213405,
4.51416,um,Surface,437,1000201374,213406,
4.56961,um,Surface,437,1000161104,213407,
5.35323,um,Surface,437,1000197225,213408,
5.71511,um,Surface,437,1000208321,213409,
4.90226,um,Surface,437,1000205236,213410,
4.79402,um,Surface,437,1000161146,213411,
4.75181,um,Surface,437,1000208944,213412,
4.6371,um,Surface,437,1000199432,213413,
5.34467,um,Surface,437,1000161145,213414,
5.14282,um,Surface,437,1000202567,213415,
4.85733,um,Surface,437,1000191712,213416,
7.20861,um,Surface,437,1000196348,213417,
4.6835,um,Surface,437,1000201094,213418,
6.05904,um,Surface,438,1000161032,213419,
4.93534,um,Surface,438,1000198833,213420,
7.09307,um,Surface,438,1000166950,213421,
4.51415,um,Surface,438,1000212391,213422,
6.24401,um,Surface,438,1000210650,213423,
5.84218,um,Surface,438,1000202801,213424,
5.14425,um,Surface,438,1000212567,213425,
4.60143,um,Surface,438,1000189692,213426,
5.35453,um,Surface,438,1000185942,213427,
4.86061,um,Surface,438,1000210467,213428,
4.94273,um,Surface,438,1000161049,213429,
7.64926,um,Surface,438,1000213056,213430,
5.3431,um,Surface,438,1000202411,213431,
4.86588,um,Surface,438,1000168619,213432,
8.88807,um,Surface,438,1000207101,213433,
5.01957,um,Surface,438,1000188975,213434,
4.72305,um,Surface,438,1000194928,213435,
4.37861,um,Surface,438,1000204718,213436,
5.95019,um,Surface,438,1000161072,213437,
4.7545,um,Surface,438,1000209244,213438,
4.5054,um,Surface,438,1000203533,213439,
5.43723,um,Surface,438,1000199773,213440,
6.38741,um,Surface,438,1000179475,213441,
7.27506,um,Surface,438,1000177939,213442,
6.01876,um,Surface,438,1000210851,213443,
4.42808,um,Surface,438,1000208231,213444,
4.59635,um,Surface,438,1000161104,213445,
4.59667,um,Surface,438,1000201374,213446,
6.99306,um,Surface,438,1000197225,213447,
4.78463,um,Surface,438,1000205236,213448,
5.15658,um,Surface,438,1000208321,213449,
5.20847,um,Surface,438,1000161146,213450,
4.75298,um,Surface,438,1000208944,213451,
5.72656,um,Surface,438,1000199432,213452,
5.23792,um,Surface,438,1000161145,213453,
5.03663,um,Surface,438,1000202567,213454,
4.44888,um,Surface,438,1000191712,213455,
7.20861,um,Surface,438,1000196348,213456,
5.41882,um,Surface,438,1000201094,213457,
4.81133,um,Surface,439,1000202801,213458,
4.68489,um,Surface,439,1000162116,213459,
5.60716,um,Surface,439,1000161032,213460,
4.93098,um,Surface,439,1000198833,213461,
7.16089,um,Surface,439,1000166950,213462,
4.35666,um,Surface,439,1000210467,213463,
5.23213,um,Surface,439,1000189692,213464,
