
Ellipsoid Axis Length B
 ==================== 
Ellipsoid Axis Length B,Unit,Category,Time,TrackID,ID,
4.7096,um,Surface,301,1000190069,237039,
5.06931,um,Surface,301,1000234098,237040,
4.6441,um,Surface,301,1000231680,237041,
1.98029,um,Surface,301,1000190669,237042,
4.34687,um,Surface,301,1000190102,237043,
4.54522,um,Surface,301,1000234104,237044,
3.37992,um,Surface,301,1000190094,237045,
4.55691,um,Surface,301,1000225127,237046,
3.14,um,Surface,301,1000222876,237047,
4.29786,um,Surface,301,1000209911,237048,
1.98029,um,Surface,301,1000236881,237049,
3.14199,um,Surface,301,1000224541,237050,
3.94966,um,Surface,301,1000226984,237051,
3.33157,um,Surface,301,1000222102,237052,
2.40958,um,Surface,301,1000190117,237053,
3.04703,um,Surface,301,1000190091,237054,
4.2751,um,Surface,301,1000190110,237055,
3.50561,um,Surface,301,1000215621,237056,
2.84612,um,Surface,301,1000190118,237057,
5.94395,um,Surface,301,1000219195,237058,
2.343,um,Surface,301,1000227524,237059,
1.98029,um,Surface,301,1000228895,237060,
3.42943,um,Surface,301,1000190130,237061,
4.96355,um,Surface,301,1000232895,237062,
3.21689,um,Surface,301,1000231939,237063,
3.57039,um,Surface,301,1000190129,237064,
1.9803,um,Surface,301,1000219672,237065,
3.68349,um,Surface,301,1000236985,237066,
4.14953,um,Surface,301,1000190126,237067,
1.9803,um,Surface,301,1000229968,237068,
1.98031,um,Surface,301,1000231721,237069,
3.71749,um,Surface,301,1000190416,237070,
2.75591,um,Surface,301,1000209980,237071,
3.80645,um,Surface,301,1000219206,237072,
3.37936,um,Surface,302,1000227434,237073,
4.41216,um,Surface,302,1000235565,237074,
4.34827,um,Surface,302,1000219866,237075,
3.41329,um,Surface,302,1000222473,237076,
2.3468,um,Surface,302,1000233369,237077,
3.69255,um,Surface,302,1000235079,237078,
3.76185,um,Surface,302,1000222142,237079,
2.87582,um,Surface,302,1000190586,237080,
4.22288,um,Surface,302,1000190294,237081,
3.44687,um,Surface,302,1000230364,237082,
4.2903,um,Surface,302,1000210577,237083,
4.22495,um,Surface,302,1000226767,237084,
2.343,um,Surface,302,1000191540,237085,
4.4429,um,Surface,302,1000221656,237086,
4.37093,um,Surface,302,1000225060,237087,
2.3468,um,Surface,302,1000220704,237088,
4.68011,um,Surface,302,1000225374,237089,
1.98026,um,Surface,302,1000218119,237090,
6.41777,um,Surface,302,1000190041,237091,
4.91903,um,Surface,302,1000207143,237092,
4.3895,um,Surface,302,1000230763,237093,
3.05754,um,Surface,302,1000231127,237094,
5.61819,um,Surface,302,1000190052,237095,
3.29053,um,Surface,302,1000229358,237096,
4.24554,um,Surface,302,1000191553,237097,
3.4871,um,Surface,302,1000225673,237098,
3.98701,um,Surface,302,1000200298,237099,
3.17277,um,Surface,302,1000229618,237100,
5.32271,um,Surface,302,1000224498,237101,
4.08024,um,Surface,302,1000231776,237102,
5.34244,um,Surface,302,1000230532,237103,
1.98032,um,Surface,302,1000223145,237104,
4.93241,um,Surface,302,1000232584,237105,
5.08137,um,Surface,302,1000221385,237106,
4.61157,um,Surface,302,1000234070,237107,
4.35822,um,Surface,302,1000234396,237108,
2.62882,um,Surface,302,1000234610,237109,
3.64747,um,Surface,302,1000231154,237110,
7.69685,um,Surface,302,1000236336,237111,
4.40123,um,Surface,302,1000218970,237112,
5.34169,um,Surface,302,1000232029,237113,
4.21405,um,Surface,302,1000190070,237114,
5.25742,um,Surface,302,1000229262,237115,
3.49894,um,Surface,302,1000190074,237116,
3.37187,um,Surface,302,1000190082,237117,
4.31413,um,Surface,302,1000190078,237118,
4.25391,um,Surface,302,1000220931,237119,
3.99099,um,Surface,302,1000228430,237120,
4.28342,um,Surface,302,1000190060,237121,
2.41034,um,Surface,302,1000227641,237122,
2.93484,um,Surface,302,1000190081,237123,
3.26111,um,Surface,302,1000236266,237124,
4.13496,um,Surface,302,1000236709,237125,
3.95366,um,Surface,302,1000231680,237126,
4.61498,um,Surface,302,1000190069,237127,
4.18324,um,Surface,302,1000234098,237128,
1.98029,um,Surface,302,1000190669,237129,
4.37194,um,Surface,302,1000190102,237130,
4.79832,um,Surface,302,1000234104,237131,
4.32426,um,Surface,302,1000225127,237132,
3.14976,um,Surface,302,1000222876,237133,
4.25696,um,Surface,302,1000190094,237134,
3.68349,um,Surface,302,1000209911,237135,
3.11504,um,Surface,302,1000236881,237136,
2.29496,um,Surface,302,1000206660,237137,
4.04604,um,Surface,302,1000215621,237138,
4.01121,um,Surface,302,1000226984,237139,
3.40928,um,Surface,302,1000190117,237140,
2.29496,um,Surface,302,1000190091,237141,
3.09034,um,Surface,302,1000190110,237142,
1.98029,um,Surface,302,1000228895,237143,
4.23846,um,Surface,302,1000231939,237144,
3.17759,um,Surface,302,1000227524,237145,
5.42968,um,Surface,302,1000232895,237146,
4.88197,um,Surface,302,1000219195,237147,
2.29496,um,Surface,302,1000190129,237148,
4.55978,um,Surface,302,1000190130,237149,
3.15403,um,Surface,302,1000190416,237150,
1.9803,um,Surface,302,1000219672,237151,
3.74194,um,Surface,302,1000236985,237152,
3.28394,um,Surface,302,1000190126,237153,
4.05249,um,Surface,302,1000219206,237154,
4.02472,um,Surface,302,1000190134,237155,
2.75591,um,Surface,302,1000229968,237156,
4.63187,um,Surface,302,1000228905,237157,
3.38105,um,Surface,302,1000231721,237158,
4.2191,um,Surface,302,1000209980,237159,
3.6719,um,Surface,303,1000190294,237160,
4.2191,um,Surface,303,1000222142,237161,
1.98032,um,Surface,303,1000190586,237162,
4.46937,um,Surface,303,1000235565,237163,
3.10743,um,Surface,303,1000221174,237164,
4.18778,um,Surface,303,1000219866,237165,
3.10618,um,Surface,303,1000222473,237166,
1.98032,um,Surface,303,1000235079,237167,
3.0874,um,Surface,303,1000233369,237168,
2.343,um,Surface,303,1000230364,237169,
4.11335,um,Surface,303,1000226767,237170,
4.26588,um,Surface,303,1000225060,237171,
3.36112,um,Surface,303,1000210577,237172,
2.41034,um,Surface,303,1000218119,237173,
3.44687,um,Surface,303,1000191540,237174,
4.26733,um,Surface,303,1000221656,237175,
6.9318,um,Surface,303,1000225374,237176,
4.47758,um,Surface,303,1000207143,237177,
3.55453,um,Surface,303,1000220704,237178,
3.72835,um,Surface,303,1000230763,237179,
