
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.488789,,Surface,86,57840,
0.406888,,Surface,87,57841,
0.288754,,Surface,87,57842,
0.349482,,Surface,87,57843,
0.225051,,Surface,87,57844,
0.395138,,Surface,87,57845,
0.279471,,Surface,87,57846,
0.385251,,Surface,87,57847,
0.282181,,Surface,87,57848,
0.286266,,Surface,87,57849,
0.382439,,Surface,87,57850,
0.285739,,Surface,87,57851,
0.204812,,Surface,87,57852,
0.16301,,Surface,87,57853,
0.297629,,Surface,87,57854,
0.165805,,Surface,87,57855,
0.348765,,Surface,87,57856,
0.387708,,Surface,87,57857,
0.270948,,Surface,87,57858,
0.478769,,Surface,87,57859,
0.265722,,Surface,87,57860,
0.250036,,Surface,87,57861,
0.523399,,Surface,87,57862,
0.325119,,Surface,87,57863,
0.503635,,Surface,87,57864,
0.413227,,Surface,87,57865,
0.211942,,Surface,87,57866,
0.423652,,Surface,87,57867,
0.297908,,Surface,87,57868,
0.424424,,Surface,87,57869,
0.219589,,Surface,87,57870,
0.36033,,Surface,87,57871,
0.420759,,Surface,87,57872,
0.298127,,Surface,87,57873,
0.345845,,Surface,87,57874,
0.363969,,Surface,87,57875,
0.483078,,Surface,87,57876,
0.286374,,Surface,88,57877,
0.259994,,Surface,88,57878,
0.416239,,Surface,88,57879,
0.352396,,Surface,88,57880,
0.241049,,Surface,88,57881,
0.474637,,Surface,88,57882,
0.374793,,Surface,88,57883,
0.280549,,Surface,88,57884,
0.292848,,Surface,88,57885,
0.363356,,Surface,88,57886,
0.341262,,Surface,88,57887,
0.229412,,Surface,88,57888,
0.197012,,Surface,88,57889,
0.190732,,Surface,88,57890,
0.299422,,Surface,88,57891,
0.154946,,Surface,88,57892,
0.266915,,Surface,88,57893,
0.341321,,Surface,88,57894,
0.475978,,Surface,88,57895,
0.277834,,Surface,88,57896,
0.20051,,Surface,88,57897,
0.229373,,Surface,88,57898,
0.478,,Surface,88,57899,
0.643887,,Surface,88,57900,
0.467274,,Surface,88,57901,
0.226149,,Surface,88,57902,
0.368852,,Surface,88,57903,
0.458533,,Surface,88,57904,
0.393888,,Surface,88,57905,
0.268932,,Surface,88,57906,
0.330791,,Surface,88,57907,
0.360663,,Surface,88,57908,
0.397934,,Surface,88,57909,
0.494951,,Surface,88,57910,
0.312267,,Surface,88,57911,
0.291719,,Surface,88,57912,
0.255457,,Surface,88,57913,
0.338707,,Surface,88,57914,
0.478922,,Surface,89,57915,
0.311398,,Surface,89,57916,
0.33392,,Surface,89,57917,
0.220757,,Surface,89,57918,
0.384867,,Surface,89,57919,
0.391074,,Surface,89,57920,
0.354858,,Surface,89,57921,
0.286985,,Surface,89,57922,
0.297738,,Surface,89,57923,
0.281356,,Surface,89,57924,
0.317817,,Surface,89,57925,
0.348161,,Surface,89,57926,
0.19126,,Surface,89,57927,
0.155221,,Surface,89,57928,
0.396301,,Surface,89,57929,
0.131792,,Surface,89,57930,
0.271134,,Surface,89,57931,
0.288438,,Surface,89,57932,
0.367796,,Surface,89,57933,
0.44036,,Surface,89,57934,
0.20685,,Surface,89,57935,
0.209734,,Surface,89,57936,
0.475372,,Surface,89,57937,
0.489416,,Surface,89,57938,
0.346001,,Surface,89,57939,
0.607063,,Surface,89,57940,
0.207653,,Surface,89,57941,
0.396808,,Surface,89,57942,
0.309638,,Surface,89,57943,
0.433367,,Surface,89,57944,
0.289526,,Surface,89,57945,
0.29158,,Surface,89,57946,
0.384851,,Surface,89,57947,
0.35018,,Surface,89,57948,
0.328422,,Surface,89,57949,
0.220868,,Surface,89,57950,
0.337402,,Surface,89,57951,
0.416154,,Surface,89,57952,
0.281836,,Surface,90,57953,
0.491175,,Surface,90,57954,
0.328613,,Surface,90,57955,
0.28452,,Surface,90,57956,
0.374583,,Surface,90,57957,
0.335063,,Surface,90,57958,
0.212697,,Surface,90,57959,
0.405079,,Surface,90,57960,
0.299019,,Surface,90,57961,
0.281915,,Surface,90,57962,
0.3986,,Surface,90,57963,
0.223018,,Surface,90,57964,
0.28745,,Surface,90,57965,
0.170677,,Surface,90,57966,
0.416668,,Surface,90,57967,
0.127481,,Surface,90,57968,
0.204487,,Surface,90,57969,
0.324255,,Surface,90,57970,
0.300355,,Surface,90,57971,
0.452706,,Surface,90,57972,
0.475728,,Surface,90,57973,
0.20975,,Surface,90,57974,
0.219058,,Surface,90,57975,
0.481876,,Surface,90,57976,
0.354209,,Surface,90,57977,
0.612571,,Surface,90,57978,
0.237693,,Surface,90,57979,
0.411891,,Surface,90,57980,
0.241607,,Surface,90,57981,
0.455513,,Surface,90,57982,
0.288641,,Surface,90,57983,
0.306075,,Surface,90,57984,
0.433741,,Surface,90,57985,
0.364727,,Surface,90,57986,
0.355006,,Surface,90,57987,
0.332601,,Surface,90,57988,
0.451801,,Surface,90,57989,
0.31937,,Surface,91,57990,
0.345838,,Surface,91,57991,
0.267795,,Surface,91,57992,
0.42684,,Surface,91,57993,
0.379376,,Surface,91,57994,
0.345783,,Surface,91,57995,
0.312999,,Surface,91,57996,
0.430325,,Surface,91,57997,
0.284847,,Surface,91,57998,
0.246415,,Surface,91,57999,
0.337189,,Surface,91,58000,
0.289019,,Surface,91,58001,
0.212155,,Surface,91,58002,
0.193639,,Surface,91,58003,
0.421947,,Surface,91,58004,
0.263995,,Surface,91,58005,
0.267298,,Surface,91,58006,
0.378005,,Surface,91,58007,
0.3091,,Surface,91,58008,
0.429736,,Surface,91,58009,
0.430047,,Surface,91,58010,
0.220853,,Surface,91,58011,
0.233633,,Surface,91,58012,
0.350065,,Surface,91,58013,
0.486774,,Surface,91,58014,
0.5453,,Surface,91,58015,
0.222577,,Surface,91,58016,
0.418198,,Surface,91,58017,
0.4883,,Surface,91,58018,
0.291967,,Surface,91,58019,
0.280398,,Surface,91,58020,
0.372161,,Surface,91,58021,
0.355448,,Surface,91,58022,
0.292566,,Surface,91,58023,
0.385603,,Surface,91,58024,
0.31576,,Surface,91,58025,
0.450601,,Surface,91,58026,
0.292207,,Surface,92,58027,
0.43949,,Surface,92,58028,
0.326235,,Surface,92,58029,
0.328004,,Surface,92,58030,
0.372181,,Surface,92,58031,
0.340877,,Surface,92,58032,
0.298182,,Surface,92,58033,
0.400022,,Surface,92,58034,
0.270949,,Surface,92,58035,
0.275147,,Surface,92,58036,
0.273079,,Surface,92,58037,
0.263562,,Surface,92,58038,
0.223603,,Surface,92,58039,
0.354938,,Surface,92,58040,
0.204899,,Surface,92,58041,
0.364992,,Surface,92,58042,
0.122586,,Surface,92,58043,
0.280983,,Surface,92,58044,
0.312586,,Surface,92,58045,
0.460237,,Surface,92,58046,
0.327151,,Surface,92,58047,
0.436068,,Surface,92,58048,
0.21098,,Surface,92,58049,
0.233285,,Surface,92,58050,
0.401298,,Surface,92,58051,
0.215709,,Surface,92,58052,
0.360759,,Surface,92,58053,
0.495619,,Surface,92,58054,
0.43064,,Surface,92,58055,
0.428055,,Surface,92,58056,
0.320496,,Surface,92,58057,
0.278268,,Surface,92,58058,
0.329542,,Surface,92,58059,
0.341469,,Surface,92,58060,
0.352103,,Surface,92,58061,
0.285957,,Surface,92,58062,
0.296507,,Surface,92,58063,
0.218355,,Surface,92,58064,
0.267608,,Surface,92,58065,
0.342419,,Surface,93,58066,
0.23388,,Surface,93,58067,
0.440552,,Surface,93,58068,
0.451721,,Surface,93,58069,
0.380694,,Surface,93,58070,
0.39916,,Surface,93,58071,
0.256561,,Surface,93,58072,
0.294858,,Surface,93,58073,
0.279199,,Surface,93,58074,
0.314375,,Surface,93,58075,
0.347542,,Surface,93,58076,
0.278222,,Surface,93,58077,
0.216837,,Surface,93,58078,
0.189552,,Surface,93,58079,
0.433676,,Surface,93,58080,
0.113155,,Surface,93,58081,
0.238833,,Surface,93,58082,
0.298259,,Surface,93,58083,
0.391407,,Surface,93,58084,
0.503033,,Surface,93,58085,
0.432707,,Surface,93,58086,
0.269428,,Surface,93,58087,
0.205787,,Surface,93,58088,
0.583678,,Surface,93,58089,
0.474075,,Surface,93,58090,
0.193291,,Surface,93,58091,
0.349542,,Surface,93,58092,
0.41467,,Surface,93,58093,
0.340003,,Surface,93,58094,
0.4515,,Surface,93,58095,
0.281265,,Surface,93,58096,
0.354186,,Surface,93,58097,
0.412742,,Surface,93,58098,
0.302587,,Surface,93,58099,
0.362139,,Surface,93,58100,
0.31329,,Surface,93,58101,
0.373144,,Surface,93,58102,
0.257278,,Surface,94,58103,
0.48408,,Surface,94,58104,
0.358033,,Surface,94,58105,
0.33435,,Surface,94,58106,
0.343407,,Surface,94,58107,
0.416456,,Surface,94,58108,
0.283535,,Surface,94,58109,
0.330385,,Surface,94,58110,
0.258981,,Surface,94,58111,
0.274548,,Surface,94,58112,
0.264113,,Surface,94,58113,
0.351659,,Surface,94,58114,
0.243854,,Surface,94,58115,
0.17242,,Surface,94,58116,
0.428958,,Surface,94,58117,
0.287369,,Surface,94,58118,
0.230422,,Surface,94,58119,
0.41392,,Surface,94,58120,
0.292157,,Surface,94,58121,
0.279483,,Surface,94,58122,
0.512916,,Surface,94,58123,
0.40791,,Surface,94,58124,
0.18921,,Surface,94,58125,
0.489027,,Surface,94,58126,
0.370973,,Surface,94,58127,
0.481448,,Surface,94,58128,
