
BoundingBoxAA Length
 ==================== 
BoundingBoxAA Length X,BoundingBoxAA Length Y,BoundingBoxAA Length Z,Unit,Category,Collection,Time,TrackID,ID,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,3,1000224513,224756,
10.6274,14.1699,11.55,um,Surface,BoundingBoxAA Length,3,1000224520,224757,
14.1699,17.7123,13.65,um,Surface,BoundingBoxAA Length,3,1000224522,224758,
14.1698,17.7123,14.7,um,Surface,BoundingBoxAA Length,3,1000224516,224759,
14.1699,17.7124,12.6,um,Surface,BoundingBoxAA Length,3,1000224518,224760,
14.1699,17.7124,13.65,um,Surface,BoundingBoxAA Length,3,1000224523,224761,
14.1698,17.7123,12.6,um,Surface,BoundingBoxAA Length,3,1000224524,224762,
17.7123,21.2548,19.95,um,Surface,BoundingBoxAA Length,3,1000224521,224763,
17.7123,14.1699,13.65,um,Surface,BoundingBoxAA Length,3,1000224525,224764,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,3,1000224526,224765,
21.2548,21.2548,22.05,um,Surface,BoundingBoxAA Length,3,1000224528,224766,
10.6274,14.1698,12.6,um,Surface,BoundingBoxAA Length,3,1000224527,224767,
14.1699,17.7123,11.55,um,Surface,BoundingBoxAA Length,3,1000224531,224768,
14.1698,14.1699,12.6,um,Surface,BoundingBoxAA Length,3,1000224530,224769,
10.6274,14.1698,11.55,um,Surface,BoundingBoxAA Length,3,1000224532,224770,
