
Ellipsoid Axis B
 ==================== 
Ellipsoid Axis B X,Ellipsoid Axis B Y,Ellipsoid Axis B Z,Unit,Category,Collection,Time,TrackID,ID,
324.739,-934.042,-148.696,um,Surface,Ellipsoid Axis B,3,1000224490,224727,
337.631,109.374,934.903,um,Surface,Ellipsoid Axis B,3,1000224487,224728,
-346.829,-932.551,-100.287,um,Surface,Ellipsoid Axis B,3,1000224491,224729,
-928.277,-103.809,357.106,um,Surface,Ellipsoid Axis B,3,1000224489,224730,
551.924,256.964,793.315,um,Surface,Ellipsoid Axis B,3,1000224492,224731,
394.733,-794.961,460.677,um,Surface,Ellipsoid Axis B,3,1000224493,224732,
65.8947,-201.137,977.344,um,Surface,Ellipsoid Axis B,3,1000224496,224733,
492.059,-746.762,-447.464,um,Surface,Ellipsoid Axis B,3,1000224494,224734,
606.318,-574.74,-549.593,um,Surface,Ellipsoid Axis B,3,1000224500,224735,
320.683,372.821,870.728,um,Surface,Ellipsoid Axis B,3,1000224499,224736,
1.1666,-961.825,273.664,um,Surface,Ellipsoid Axis B,3,1000224502,224737,
26.5125,-979.243,-200.95,um,Surface,Ellipsoid Axis B,3,1000224497,224738,
-860.191,-100.268,500.018,um,Surface,Ellipsoid Axis B,3,1000224495,224739,
112.529,-993.436,20.5266,um,Surface,Ellipsoid Axis B,3,1000224506,224740,
59.1279,-274.361,959.807,um,Surface,Ellipsoid Axis B,3,1000224501,224741,
-401.225,-904.143,-146.78,um,Surface,Ellipsoid Axis B,3,1000224498,224742,
840.233,525.621,-133.161,um,Surface,Ellipsoid Axis B,3,1000224503,224743,
954.742,-277.568,106.877,um,Surface,Ellipsoid Axis B,3,1000224504,224744,
-269.323,309.965,911.804,um,Surface,Ellipsoid Axis B,3,1000224505,224745,
750.773,-292.475,592.282,um,Surface,Ellipsoid Axis B,3,1000224509,224746,
638.251,-103.882,762.787,um,Surface,Ellipsoid Axis B,3,1000224508,224747,
-496.351,-859.538,121.783,um,Surface,Ellipsoid Axis B,3,1000224511,224748,
897.199,-368.552,243.317,um,Surface,Ellipsoid Axis B,3,1000224515,224749,
758.431,396.659,517.15,um,Surface,Ellipsoid Axis B,3,1000224512,224750,
-88.1006,-946.634,-310.036,um,Surface,Ellipsoid Axis B,3,1000224507,224751,
