
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,TrackID,ID,
0.536781,um,Surface,73,1000224477,235904,
0.824264,um,Surface,73,1000225621,235905,
1.60434,um,Surface,73,1000234024,235906,
3.07968,um,Surface,73,1000224474,235907,
0.512407,um,Surface,73,1000224486,235908,
0.44899,um,Surface,73,1000224480,235909,
2.42667,um,Surface,73,1000224475,235910,
3.16356,um,Surface,73,1000229314,235911,
1.66619,um,Surface,73,1000226336,235912,
1.24586,um,Surface,73,1000224476,235913,
6.25903,um,Surface,73,1000229808,235914,
0.384215,um,Surface,73,1000232319,235915,
2.58556,um,Surface,73,1000224840,235916,
1.50412,um,Surface,73,1000227400,235917,
4.19127,um,Surface,73,1000224483,235918,
0,um,Surface,73,1000235919,235919,
3.50026,um,Surface,73,1000230137,235920,
0.980072,um,Surface,73,1000224481,235921,
3.6545,um,Surface,73,1000226044,235922,
2.23333,um,Surface,73,1000224491,235923,
1.7466,um,Surface,73,1000224490,235924,
1.47845,um,Surface,73,1000224482,235925,
1.08178,um,Surface,73,1000231813,235926,
4.96359,um,Surface,73,1000224485,235927,
3.26167,um,Surface,73,1000224489,235928,
2.81063,um,Surface,73,1000227233,235929,
0.572523,um,Surface,73,1000224488,235930,
1.91324,um,Surface,73,1000234726,235931,
0.830067,um,Surface,73,1000224493,235932,
1.82578,um,Surface,73,1000224487,235933,
2.45592,um,Surface,73,1000225093,235934,
0.143145,um,Surface,73,1000230629,235935,
1.30814,um,Surface,73,1000231654,235936,
1.61317,um,Surface,73,1000225660,235937,
2.03779,um,Surface,73,1000224494,235938,
1.65399,um,Surface,73,1000224495,235939,
2.31182,um,Surface,73,1000224502,235940,
4.93029,um,Surface,73,1000224510,235941,
1.4372,um,Surface,73,1000224504,235942,
3.98794,um,Surface,73,1000224492,235943,
0.319335,um,Surface,73,1000226074,235944,
0.0961051,um,Surface,73,1000228532,235945,
0.541201,um,Surface,73,1000228208,235946,
1.99339,um,Surface,73,1000224505,235947,
2.78839,um,Surface,73,1000224496,235948,
3.06663,um,Surface,73,1000226826,235949,
0.635365,um,Surface,73,1000224501,235950,
3.02663,um,Surface,73,1000224506,235951,
0.334596,um,Surface,73,1000224508,235952,
2.85604,um,Surface,73,1000224503,235953,
3.31773,um,Surface,73,1000224521,235954,
0.319218,um,Surface,73,1000234078,235955,
0.230553,um,Surface,73,1000224515,235956,
2.13166,um,Surface,73,1000224513,235957,
1.87644,um,Surface,73,1000224512,235958,
1.74205,um,Surface,73,1000224507,235959,
1.0107,um,Surface,73,1000224518,235960,
1.46579,um,Surface,73,1000226515,235961,
1.80879,um,Surface,73,1000225008,235962,
3.71629,um,Surface,73,1000224509,235963,
3.9724,um,Surface,73,1000224517,235964,
0.794663,um,Surface,73,1000224522,235965,
3.90655,um,Surface,73,1000224516,235966,
0.233545,um,Surface,73,1000224511,235967,
0.886663,um,Surface,73,1000224520,235968,
1.78827,um,Surface,73,1000229855,235969,
3.59069,um,Surface,73,1000224514,235970,
11.098,um,Surface,73,1000224771,235971,
1.07272,um,Surface,73,1000226996,235972,
2.14014,um,Surface,73,1000224524,235973,
1.39943,um,Surface,73,1000226081,235974,
1.08319,um,Surface,73,1000224525,235975,
1.69501,um,Surface,73,1000224527,235976,
1.49497,um,Surface,73,1000224531,235977,
0.480814,um,Surface,73,1000227755,235978,
5.47709,um,Surface,73,1000224528,235979,
1.4575,um,Surface,73,1000225970,235980,
2.59426,um,Surface,73,1000224529,235981,
4.46136,um,Surface,73,1000224532,235982,
1.1648,um,Surface,73,1000224526,235983,
0.910539,um,Surface,73,1000226406,235984,
2.79822,um,Surface,73,1000224534,235985,
2.5477,um,Surface,73,1000224533,235986,
3.50094,um,Surface,73,1000224535,235987,
2.00053,um,Surface,73,1000225028,235988,
1.94998,um,Surface,73,1000226120,235989,
13.3318,um,Surface,73,1000224530,235990,
0.999754,um,Surface,73,1000224519,235991,
23.5125,um,Surface,73,1000225699,235992,
0.127548,um,Surface,73,1000224905,235993,
