
Displacement Delta Length
 ====================
Displacement^2,Unit,Category,Time,TrackID,ID
29.8186,um,Surface,75,1000052720,59627
5.8018,um,Surface,75,1000055001,59628
5.44555,um,Surface,75,1000052718,59629
5.95484,um,Surface,75,1000052721,59630
4.2922,um,Surface,75,1000052713,59631
0.45544,um,Surface,75,1000056989,59632
1.02777,um,Surface,75,1000052729,59633
2.45056,um,Surface,75,1000053000,59634
3.79336,um,Surface,75,1000058708,59635
0.745265,um,Surface,75,1000055106,59636
0.235206,um,Surface,75,1000059451,59637
9.33747,um,Surface,75,1000052727,59638
1.27717,um,Surface,75,1000053822,59639
4.02555,um,Surface,75,1000052732,59640
6.57284,um,Surface,75,1000052724,59641
0.657124,um,Surface,75,1000052730,59642
2.22394,um,Surface,75,1000052731,59643
1.73039,um,Surface,75,1000059275,59644
0.497363,um,Surface,75,1000052733,59645
2.04927,um,Surface,75,1000052736,59646
2.66764,um,Surface,75,1000058633,59647
0.876722,um,Surface,75,1000052728,59648
2.4707,um,Surface,75,1000057293,59649
5.25353,um,Surface,76,1000059558,59650
3.08631,um,Surface,76,1000052673,59651
2.68112,um,Surface,76,1000054381,59652
1.02895,um,Surface,76,1000052681,59653
6.91697,um,Surface,76,1000053564,59654
1.97898,um,Surface,76,1000052672,59655
20.1241,um,Surface,76,1000057728,59656
1.4722,um,Surface,76,1000052668,59657
2.19972,um,Surface,76,1000053473,59658
2.60801,um,Surface,76,1000058916,59659
1.57785,um,Surface,76,1000052677,59660
3.51476,um,Surface,76,1000052651,59661
0.378068,um,Surface,76,1000052648,59662
18.6542,um,Surface,76,1000059118,59663
0.55591,um,Surface,76,1000052654,59664
18.5164,um,Surface,76,1000059568,59665
0.677521,um,Surface,76,1000052652,59666
1.37971,um,Surface,76,1000052658,59667
2.56819,um,Surface,76,1000057119,59668
4.63228,um,Surface,76,1000052659,59669
1.68775,um,Surface,76,1000058277,59670
2.28488,um,Surface,76,1000052663,59671
12.1639,um,Surface,76,1000059303,59672
7.16135,um,Surface,76,1000052661,59673
3.22898,um,Surface,76,1000055218,59674
6.95131,um,Surface,76,1000052665,59675
0.648168,um,Surface,76,1000058101,59676
4.7267,um,Surface,76,1000052682,59677
9.45183,um,Surface,76,1000052678,59678
2.95783,um,Surface,76,1000052676,59679
2.60764,um,Surface,76,1000055969,59680
0.456081,um,Surface,76,1000052684,59681
2.37567,um,Surface,76,1000058301,59682
7.11149,um,Surface,76,1000052692,59683
5.15007,um,Surface,76,1000052686,59684
0,um,Surface,76,1000059685,59685
19.6564,um,Surface,76,1000059133,59686
2.16216,um,Surface,76,1000052679,59687
15.583,um,Surface,76,1000052649,59688
2.27711,um,Surface,76,1000056302,59689
1.88476,um,Surface,76,1000052785,59690
1.22521,um,Surface,76,1000052697,59691
11.5907,um,Surface,76,1000059239,59692
3.59219,um,Surface,76,1000057445,59693
2.60589,um,Surface,76,1000059142,59694
5.8459,um,Surface,76,1000052708,59695
12.7108,um,Surface,76,1000059427,59696
1.48918,um,Surface,76,1000052696,59697
1.2126,um,Surface,76,1000052706,59698
9.22524,um,Surface,76,1000056206,59699
3.5003,um,Surface,76,1000058494,59700
19.2729,um,Surface,76,1000058585,59701
2.6228,um,Surface,76,1000052705,59702
0.712423,um,Surface,76,1000052701,59703
0.946821,um,Surface,76,1000059156,59704
0.297369,um,Surface,76,1000057942,59705
9.29096,um,Surface,76,1000052702,59706
3.03733,um,Surface,76,1000052717,59707
0.721872,um,Surface,76,1000052710,59708
18.3529,um,Surface,76,1000056813,59709
0.627365,um,Surface,76,1000052711,59710
1.54543,um,Surface,76,1000057554,59711
0.783507,um,Surface,76,1000056422,59712
4.19574,um,Surface,76,1000052718,59713
4.76353,um,Surface,76,1000052714,59714
4.05195,um,Surface,76,1000055001,59715
9.99242,um,Surface,76,1000052713,59716
7.08083,um,Surface,76,1000052721,59717
15.7219,um,Surface,76,1000052720,59718
3.18796,um,Surface,76,1000053000,59719
0.258167,um,Surface,76,1000056989,59720
3.13672,um,Surface,76,1000058708,59721
2.88057,um,Surface,76,1000052729,59722
1.01508,um,Surface,76,1000055106,59723
4.74216,um,Surface,76,1000053822,59724
7.44543,um,Surface,76,1000052727,59725
6.70735,um,Surface,76,1000052732,59726
0.442806,um,Surface,76,1000052724,59727
0.25674,um,Surface,76,1000052730,59728
1.77959,um,Surface,76,1000052731,59729
3.68527,um,Surface,76,1000059275,59730
1.15371,um,Surface,76,1000052733,59731
5.18588,um,Surface,76,1000058633,59732
4.14155,um,Surface,76,1000055107,59733
2.54151,um,Surface,76,1000052736,59734
0,um,Surface,76,1000059735,59735
9.62499,um,Surface,76,1000057293,59736
1.3011,um,Surface,76,1000052728,59737
1.17472,um,Surface,77,1000059558,59738
14.6994,um,Surface,77,1000057728,59739
2.61612,um,Surface,77,1000052672,59740
1.52231,um,Surface,77,1000054381,59741
7.37988,um,Surface,77,1000053564,59742
5.01703,um,Surface,77,1000052673,59743
3.87082,um,Surface,77,1000052681,59744
0.845555,um,Surface,77,1000052668,59745
2.84488,um,Surface,77,1000058916,59746
3.36041,um,Surface,77,1000052677,59747
0.147608,um,Surface,77,1000053473,59748
0.67426,um,Surface,77,1000058743,59749
2.84913,um,Surface,77,1000052651,59750
5.14219,um,Surface,77,1000052648,59751
0.821165,um,Surface,77,1000052654,59752
0.406819,um,Surface,77,1000052652,59753
12.4618,um,Surface,77,1000059118,59754
12.9728,um,Surface,77,1000052653,59755
0.645385,um,Surface,77,1000052658,59756
8.30489,um,Surface,77,1000057119,59757
5.04287,um,Surface,77,1000052659,59758
1.98093,um,Surface,77,1000058277,59759
3.20457,um,Surface,77,1000052663,59760
4.79143,um,Surface,77,1000052661,59761
7.3218,um,Surface,77,1000055982,59762
11.0761,um,Surface,77,1000059303,59763
1.27079,um,Surface,77,1000052665,59764
1.06253,um,Surface,77,1000059027,59765
0.645156,um,Surface,77,1000058101,59766
1.69965,um,Surface,77,1000052678,59767
2.09413,um,Surface,77,1000052676,59768
2.09142,um,Surface,77,1000058301,59769
1.96039,um,Surface,77,1000052682,59770
5.53996,um,Surface,77,1000055969,59771
6.86278,um,Surface,77,1000059221,59772
0.875763,um,Surface,77,1000059407,59773
0.245723,um,Surface,77,1000052684,59774
2.94927,um,Surface,77,1000052692,59775
3.90148,um,Surface,77,1000052649,59776
24.2214,um,Surface,77,1000059133,59777
0.966354,um,Surface,77,1000056302,59778
10.4935,um,Surface,77,1000052679,59779
0.867241,um,Surface,77,1000052785,59780
0.809937,um,Surface,77,1000057445,59781
6.01669,um,Surface,77,1000052708,59782
1.26086,um,Surface,77,1000052696,59783
1.88287,um,Surface,77,1000059427,59784
19.2222,um,Surface,77,1000058585,59785
2.49642,um,Surface,77,1000052697,59786
20.9378,um,Surface,77,1000059239,59787
1.05853,um,Surface,77,1000059142,59788
1.75685,um,Surface,77,1000052706,59789
5.33797,um,Surface,77,1000056206,59790
3.75942,um,Surface,77,1000058494,59791
1.08554,um,Surface,77,1000052701,59792
1.30208,um,Surface,77,1000052705,59793
0.589643,um,Surface,77,1000057942,59794
15.7829,um,Surface,77,1000059154,59795
4.85808,um,Surface,77,1000059156,59796
13.0603,um,Surface,77,1000052717,59797
2.96707,um,Surface,77,1000052702,59798
0.147599,um,Surface,77,1000052710,59799
5.0032,um,Surface,77,1000056813,59800
18.1087,um,Surface,77,1000052711,59801
10.6116,um,Surface,77,1000052714,59802
3.482,um,Surface,77,1000057554,59803
8.16312,um,Surface,77,1000052718,59804
11.9588,um,Surface,77,1000056422,59805
10.3868,um,Surface,77,1000052713,59806
5.47138,um,Surface,77,1000055001,59807
7.22734,um,Surface,77,1000052721,59808
1.12026,um,Surface,77,1000053000,59809
11.1754,um,Surface,77,1000052729,59810
0.265686,um,Surface,77,1000056989,59811
4.61386,um,Surface,77,1000058708,59812
8.32991,um,Surface,77,1000052720,59813
7.35956,um,Surface,77,1000052727,59814
2.20389,um,Surface,77,1000055106,59815
8.4125,um,Surface,77,1000052724,59816
11.602,um,Surface,77,1000053822,59817
0.258355,um,Surface,77,1000052731,59818
6.16555,um,Surface,77,1000052732,59819
2.27827,um,Surface,77,1000052733,59820
0.69072,um,Surface,77,1000052730,59821
4.49308,um,Surface,77,1000055107,59822
12.6176,um,Surface,77,1000059275,59823
7.23075,um,Surface,77,1000059735,59824
2.3608,um,Surface,77,1000052736,59825
4.00053,um,Surface,77,1000058633,59826
2.0671,um,Surface,77,1000052728,59827
5.96329,um,Surface,77,1000057293,59828
1.52434,um,Surface,78,1000052678,59829
1.49389,um,Surface,78,1000059558,59830
4.15488,um,Surface,78,1000053564,59831
1.31906,um,Surface,78,1000054381,59832
0.949862,um,Surface,78,1000052673,59833
1.07499,um,Surface,78,1000052681,59834
4.82418,um,Surface,78,1000052672,59835
0.0886321,um,Surface,78,1000052668,59836
6.80751,um,Surface,78,1000055510,59837
3.1017,um,Surface,78,1000058916,59838
1.87775,um,Surface,78,1000053473,59839
3.17412,um,Surface,78,1000052677,59840
2.72245,um,Surface,78,1000052651,59841
3.6972,um,Surface,78,1000058743,59842
1.49362,um,Surface,78,1000052652,59843
1.23052,um,Surface,78,1000052648,59844
0.496934,um,Surface,78,1000052654,59845
1.64732,um,Surface,78,1000052653,59846
10.701,um,Surface,78,1000059118,59847
0.339855,um,Surface,78,1000052658,59848
5.07834,um,Surface,78,1000058277,59849
1.30969,um,Surface,78,1000052659,59850
22.8,um,Surface,78,1000057119,59851
0.991168,um,Surface,78,1000052663,59852
3.15664,um,Surface,78,1000055218,59853
8.48442,um,Surface,78,1000059303,59854
6.61351,um,Surface,78,1000052665,59855
3.31462,um,Surface,78,1000059027,59856
0.603581,um,Surface,78,1000058101,59857
17.6786,um,Surface,78,1000057728,59858
1.7797,um,Surface,78,1000052676,59859
1.08282,um,Surface,78,1000052682,59860
11.3689,um,Surface,78,1000058301,59861
0.261884,um,Surface,78,1000052684,59862
2.46018,um,Surface,78,1000055969,59863
7.56046,um,Surface,78,1000059221,59864
4.00434,um,Surface,78,1000052686,59865
3.00658,um,Surface,78,1000052692,59866
14.3224,um,Surface,78,1000059685,59867
0,um,Surface,78,1000059868,59868
6.11058,um,Surface,78,1000059133,59869
6.74795,um,Surface,78,1000052649,59870
1.69493,um,Surface,78,1000056302,59871
7.46354,um,Surface,78,1000052708,59872
1.73916,um,Surface,78,1000052679,59873
1.48726,um,Surface,78,1000052785,59874
3.87342,um,Surface,78,1000057445,59875
2.11979,um,Surface,78,1000052697,59876
1.5062,um,Surface,78,1000057529,59877
8.97209,um,Surface,78,1000059239,59878
0.642613,um,Surface,78,1000052696,59879
0,um,Surface,78,1000059880,59880
0.613584,um,Surface,78,1000059142,59881
3.32416,um,Surface,78,1000052706,59882
8.15661,um,Surface,78,1000056206,59883
19.7787,um,Surface,78,1000058494,59884
6.10554,um,Surface,78,1000052705,59885
16.3562,um,Surface,78,1000058585,59886
5.59877,um,Surface,78,1000052701,59887
6.52021,um,Surface,78,1000059154,59888
3.59697,um,Surface,78,1000057942,59889
6.57991,um,Surface,78,1000052717,59890
2.29979,um,Surface,78,1000052702,59891
2.56117,um,Surface,78,1000052710,59892
2.78694,um,Surface,78,1000052711,59893
9.52901,um,Surface,78,1000056813,59894
5.45576,um,Surface,78,1000052714,59895
15.8696,um,Surface,78,1000057554,59896
1.97648,um,Surface,78,1000052718,59897
21.1345,um,Surface,78,1000056422,59898
2.34861,um,Surface,78,1000055001,59899
4.56438,um,Surface,78,1000053000,59900
4.39412,um,Surface,78,1000052721,59901
9.20065,um,Surface,78,1000052729,59902
14.0944,um,Surface,78,1000052713,59903
8.11715,um,Surface,78,1000052720,59904
1.95324,um,Surface,78,1000055106,59905
4.67062,um,Surface,78,1000058708,59906
11.1261,um,Surface,78,1000053822,59907
5.20794,um,Surface,78,1000052727,59908
2.78317,um,Surface,78,1000052724,59909
13.0585,um,Surface,78,1000052732,59910
0.314699,um,Surface,78,1000052731,59911
1.29741,um,Surface,78,1000052733,59912
0.604661,um,Surface,78,1000052730,59913
1.53486,um,Surface,78,1000059275,59914
0,um,Surface,78,1000059915,59915
6.64697,um,Surface,78,1000055107,59916
13.9945,um,Surface,78,1000059735,59917
1.39637,um,Surface,78,1000052728,59918
4.63433,um,Surface,78,1000058633,59919
1.12271,um,Surface,79,1000059558,59920
1.74862,um,Surface,79,1000052673,59921
0.468989,um,Surface,79,1000054381,59922
